city,country,latitude,longitude,population
"A Coruña","Spain",43.3713,-8.4188,370610
"Aachen","Germany",50.7762,6.0838,247380
"Aalborg","Denmark",57.0337,9.9166,122219
"Aalen","Germany",48.8372,10.0936,68456
"Aalst","Belgium",50.9333,4.0333,85715
"Aarhus","Denmark",56.1572,10.2107,237551
"Aba","Nigeria",5.1167,7.3667,500183
"Abaetetuba","Brazil",-1.7178,-48.8828,159080
"Abaeté","Brazil",-19.1583,-45.4522,800000
"Abakan","Russia",53.7167,91.4167,181709
"Abancay","Peru",-13.6333,-72.8833,72277
"Abbotsford","Canada",49.0500,-122.3167,141397
"Abbottabad","Pakistan",34.1500,73.2167,148587
"Abdul Hakim","Pakistan",30.5522,72.1278,51494
"Abengourou","Côte D’Ivoire",6.7297,-3.4964,104020
"Abeokuta","Nigeria",7.1500,3.3500,888924
"Aberdeen","United Kingdom",57.1500,-2.1100,214610
"Abertawe","United Kingdom",51.6167,-3.9500,245508
"Abhā","Saudi Arabia",18.2167,42.5000,236157
"Abidjan","Côte D’Ivoire",5.3364,-4.0267,4980000
"Abiko","Japan",35.8642,140.0282,130290
"Abilene","United States",32.4543,-99.7384,123420
"Abington","United States",40.1108,-75.1146,55459
"Abnūb","Egypt",27.2667,31.1500,67526
"Abohar","India",30.1204,74.2900,130603
"Abomey","Benin",7.1853,1.9914,82154
"Abu Dhabi","United Arab Emirates",24.4781,54.3686,1000000
"Abuja","Nigeria",9.0556,7.4914,1235880
"Abuyog","Philippines",10.7458,125.0122,59571
"Abéché","Chad",13.8331,20.8347,76492
"Abū Ḩamad","Sudan",19.5370,33.3260,50000
"Abū Ḩulayfah","Kuwait",29.3333,48.0000,164212
"Acacías","Colombia",3.9889,-73.7647,75252
"Acajutla","El Salvador",13.5928,-89.8275,92000
"Acambay","Mexico",19.9539,-99.8431,56847
"Acapulco de Juárez","Mexico",16.8636,-99.8825,687608
"Acaraú","Brazil",-2.8858,-40.1200,61210
"Acarigua","Venezuela",9.5597,-69.2019,195637
"Acará","Brazil",-1.9608,-48.1969,55669
"Acatzingo","Mexico",18.9817,-97.7822,52078
"Acayucan","Mexico",17.9422,-94.9103,83817
"Accra","Ghana",5.6037,-0.1870,2291352
"Acerra","Italy",40.9500,14.3667,59910
"Achinsk","Russia",56.2817,90.5039,105264
"Acireale","Italy",37.6125,15.1656,52269
"Acopiara","Brazil",-6.0950,-39.4528,53135
"Acton","United Kingdom",51.5135,-0.2707,62480
"Actopan","Mexico",20.2670,-98.9330,56429
"Acámbaro","Mexico",20.0361,-100.7314,57972
"Ad Dakhla","Morocco",23.7141,-15.9368,89292
"Ad Dammām","Saudi Arabia",26.4333,50.1000,903312
"Ad Diwem","Sudan",13.9904,32.3000,87068
"Ad Dīwānīyah","Iraq",31.9892,44.9247,391600
"Adachi","Japan",35.7833,139.8000,682326
"Adana","Turkey",37.0000,35.3250,2220125
"Addis Ababa","Ethiopia",9.0272,38.7369,3041002
"Adelaide","Australia",-34.9289,138.6011,1345777
"Aden","Yemen",12.8000,45.0333,507355
"Adilābād","India",19.6667,78.5333,117167
"Ado-Ekiti","Nigeria",7.6167,5.2167,446749
"Adrar","Algeria",27.8742,-0.2939,68276
"Adıyaman","Turkey",37.7644,38.2763,304615
"Aflao","Ghana",6.1188,1.1946,66546
"Afragola","Italy",40.9167,14.3167,64817
"Afyonkarahisar","Turkey",38.7581,30.5386,299673
"Agadez","Niger",16.9959,7.9828,117770
"Agadir","Morocco",30.4167,-9.5833,421844
"Agartala","India",23.8333,91.2667,522613
"Agboville","Côte D’Ivoire",5.9333,-4.2167,81770
"Ageoshimo","Japan",35.9775,139.5933,226616
"Agoo","Philippines",16.3220,120.3647,63692
"Agrigento","Italy",37.3111,13.5765,59329
"Agua Prieta","Mexico",31.3258,-109.5489,79138
"Aguachica","Colombia",8.3067,-73.6153,109621
"Aguascalientes","Mexico",21.8760,-102.2960,934424
"Agía Paraskeví","Greece",38.0053,23.8208,59704
"Ahar","Iran",38.4750,47.0603,100641
"Ahlen","Germany",51.7633,7.8911,52582
"Ahmadnagar","India",19.0833,74.7333,350859
"Ahmadpur East","Pakistan",29.1453,71.2617,128112
"Ahmedabad","India",23.0300,72.5800,7410000
"Ahuachapán","El Salvador",13.9214,-89.8450,110511
"Ahvāz","Iran",31.3203,48.6692,1184788
"Aihua","China",24.4629,100.1350,106054
"Ailan Mubage","China",43.9167,81.3167,526745
"Airdrie","Canada",51.2917,-114.0144,61581
"Aisai","Japan",35.1500,136.7333,60914
"Ait Ali","Morocco",30.1739,-9.4881,76646
"Ait Melloul","Morocco",30.3342,-9.4972,171847
"Aix-en-Provence","France",43.5263,5.4454,142482
"Ajaccio","France",41.9267,8.7369,70659
"Ajax","Canada",43.8583,-79.0364,119677
"Ajdābiyā","Libya",30.7700,20.2200,143833
"Ajmer","India",26.4680,74.6390,542321
"Ajuy","Philippines",11.1725,123.0196,52268
"Akbou","Algeria",36.4667,4.5333,52282
"Aketi","Congo (Kinshasa)",2.7405,23.7800,58601
"Akhmīm","Egypt",26.5642,31.7461,101509
"Akiruno","Japan",35.7289,139.2942,79600
"Akishima","Japan",35.7056,139.3536,112110
"Akita","Japan",39.7197,140.1025,302984
"Akola","India",20.7333,77.0000,425817
"Akron","United States",41.0798,-81.5219,565208
"Aksaray","Turkey",38.3686,34.0297,295351
"Aksu","China",41.1664,80.2500,535657
"Akure","Nigeria",7.2500,5.1950,420594
"Akçakale","Turkey",36.7108,38.9478,113194
"Al Aḩmadī","Kuwait",29.0769,48.0838,68763
"Al Bayḑā’","Libya",32.7628,21.7550,250000
"Al Başrah","Iraq",30.4889,47.8100,1225793
"Al Bāḩah","Saudi Arabia",20.0129,41.4677,95089
"Al Fallūjah","Iraq",33.3500,43.7833,326471
"Al Fayyūm","Egypt",29.3000,30.8333,315940
"Al Fqih Ben Çalah","Morocco",32.5000,-6.7000,102019
"Al Fujayrah","United Arab Emirates",25.1308,56.3347,93673
"Al Fāw","Iraq",29.9800,48.4700,105080
"Al Ghardaqah","Egypt",27.2578,33.8117,160901
"Al Hoceïma","Morocco",35.2472,-3.9322,56716
"Al Hufūf","Saudi Arabia",25.3608,49.5997,637389
"Al Jahrā’","Kuwait",29.3375,47.6581,194193
"Al Jubayl","Saudi Arabia",27.0046,49.6460,237274
"Al Kharj","Saudi Arabia",24.1556,47.3120,298428
"Al Khawr","Qatar",25.6900,51.5100,202031
"Al Khmissat","Morocco",33.8100,-6.0600,131542
"Al Khubar","Saudi Arabia",26.3000,50.2167,219679
"Al Khums","Libya",32.6604,14.2600,201943
