Year,Population
0,4938642
100,5694368
200,6430050
300,5697016
400,4964012
500,4720607
600,4477246
700,4723481
800,4969752
900,5705630
1000,6441544
1100,7667044
1200,10361312
1300,15806721
1400,10930922
1500,14867558
1600,18314616
1700,21992322
1710,22592810
1720,23193336
1730,23793816
1740,24394330
1750,24994842
1760,25571370
1770,26147880
1780,26724322
1790,27300924
1800,29000000
1801,29108552
1802,29217510
1803,29326876
1804,29436651
1805,29546838
1806,29657436
1807,29768449
1808,29879877
1809,29991722
1810,30104407
1811,30217092
1812,30330200
1813,30443731
1814,30557687
1815,30672069
1816,30786880
1817,30902120
1818,31017792
1819,31150340
1820,31299931
1821,31466736
1822,31650924
1823,31852668
1824,32055698
1825,32260022
1826,32465648
1827,32672585
1828,32880842
1829,33079302
1830,33267853
1831,33446379
1832,33614762
1833,33772885
1834,33931751
1835,34091365
1836,34251730
1837,34412849
1838,34574726
1839,34733003
1840,34887644
1841,35038615
1842,35185880
1843,35329405
1844,35473515
1845,35618212
1846,35763500
1847,35909381
1848,36055856
1849,36192055
1850,36317907
1851,36422915
1852,36517375
1853,36601225
1854,36685264
1855,36769494
1856,36853914
1857,36938524
1858,37023326
1859,37111533
1860,37203159
1861,37298222
1862,37396737
1863,37498719
1864,37600976
1865,37703510
1866,37806319
1867,37909406
1868,38012770
1869,38105310
1870,38186983
1871,38257751
1872,38317571
1873,38366403
1874,38415294
1875,38464245
1876,38513254
1877,38562323
1878,38611451
1879,38667543
1880,38730622
1881,38800708
1882,38877824
1883,38961992
1884,39046339
1885,39130866
1886,39215572
1887,39300458
1888,39385524
1889,39462823
1890,39532330
1891,39594021
1892,39647872
1893,39693861
1894,39739899
1895,39785987
1896,39832125
1897,39878314
1898,39924553
1899,39971493
1900,40019136
1901,40067484
1902,40116538
1903,40166299
1904,40216118
1905,40265996
1906,40315932
1907,40365927
1908,40415980
1909,40408851
1910,40344819
1911,40224160
1912,40047151
1913,39814066
1914,39582334
1915,39351947
1916,39122898
1917,38895178
1918,38680067
1919,38558175
1920,38529587
1921,38594388
1922,38752667
1923,39004517
1924,39258004
1925,39513139
1926,39769931
1927,40028393
1928,40288534
1929,40485273
1930,40618294
1931,40687278
1932,40691906
1933,40631855
1934,40571892
1935,40512018
1936,40452232
1937,40392535
1938,40332925
1939,40314566
1940,40337546
1941,40401955
1942,40507882
1943,40655418
1944,40803492
1945,40952105
1946,41101259
1947,41250956
1948,41401199
1949,41598134
1950,41842356
1951,42196660
1952,42542396
1953,42883300
1954,43225644
1955,43593852
1956,43959224
1957,44338088
1958,44754360
1959,45201848
1960,45659572
1961,46143028
1962,46635188
1963,47121244
1964,47641948
1965,48168800
1966,48683088
1967,49181404
1968,49647272
1969,50087056
1970,50523588
1971,50970696
1972,51410364
1973,51814076
1974,52163552
1975,52450032
1976,52685272
1977,52925440
1978,53175308
1979,53428780
1980,53713836
1981,54016748
1982,54319652
1983,54592384
1984,54845984
1985,55108104
1986,55371640
1987,55641536
1988,55911476
1989,56169944
1990,56412896
1991,56645216
1992,56864048
1993,57053728
1994,57230064
1995,57420356
1996,57623180
1997,57839364
1998,58080344
1999,58352208
2000,58665456
2001,59014776
2002,59372784
2003,59728260
2004,60108436
2005,60510080
2006,60919152
2007,61329380
2008,61721004
2009,62093300
2010,62444568
2011,62775272
2012,63071412
2013,63335180
2014,63588496
2015,63809768
2016,63989320
2017,64144092
2018,64277812
2019,64399760
2020,64480052
2021,64531448
