Date:unix_timestamp,Average Daily Temperature (Celcius)
788936400,-6.7
789022800,-5.4
789109200,-6.7
789195600,-7.4
789282000,-13.5
789368400,-4.1
789454800,-3.2
789541200,-9.4
789627600,-8.2
789714000,-18.3
789800400,-21.2
789886800,-13.5
789973200,-4.8
790059600,-1.9
790146000,4.9
790232400,5.1
790318800,0.9
790405200,-1.1
790491600,1.7
790578000,2.0
790664400,1.4
790750800,-1.2
790837200,-3.3
790923600,-3.3
791010000,-3.9
791096400,-11.2
791182800,-13.3
791269200,-14.6
791355600,-12.9
791442000,-6.3
791528400,-2.8
791614800,0.4
791701200,-9.6
791787600,-12.7
791874000,-10.8
791960400,-13.1
792046800,-24.7
792133200,-20.5
792219600,-17.7
792306000,-9.6
792392400,-9.1
792478800,-7.1
792565200,-15.3
792651600,-12.6
792738000,-9.6
792824400,-7.9
792910800,0.2
792997200,-5.0
793083600,-0.8
793170000,-1.5
793256400,-3.1
793342800,-4.2
793429200,-7.3
793515600,-3.9
793602000,-2.0
793688400,-14.0
793774800,-17.9
793861200,-15.1
793947600,-8.6
794034000,-6.3
794120400,-8.8
794206800,-13.3
794293200,-7.5
794379600,-6.6
794466000,-5.3
794552400,-2.8
794638800,3.6
794725200,-6.7
794811600,-11.6
794898000,-9.2
794984400,-3.2
795070800,4.6
795157200,5.9
795243600,5.3
795330000,5.7
795416400,3.8
795502800,2.9
795589200,3.0
795675600,4.2
795762000,7.3
795848400,4.3
795934800,3.9
796021200,-0.2
796107600,1.2
796194000,4.2
796280400,3.7
796366800,4.0
796453200,5.6
796539600,6.3
796626000,4.3
796712400,-0.4
796798800,0.3
796885200,2.3
796971600,3.2
797058000,-10.0
797144400,-7.4
797230800,-3.6
797317200,0.1
797403600,4.9
797490000,-1.0
797576400,3.4
797662800,8.7
797749200,8.5
797835600,5.2
797922000,1.7
798008400,1.7
798094800,2.0
798181200,5.9
798267600,11.6
798354000,8.7
798440400,8.4
798526800,9.5
798613200,4.7
798699600,3.7
798786000,6.5
798872400,9.4
798958800,8.8
799045200,9.9
799131600,8.4
799218000,7.6
799304400,10.9
799390800,12.2
799477200,13.2
799563600,13.5
799650000,14.0
799736400,10.1
799822800,5.1
799909200,8.8
799995600,13.8
800082000,14.3
800168400,11.9
800254800,11.2
800341200,14.9
800427600,16.7
800514000,12.7
800600400,11.1
800686800,11.8
800773200,12.1
800859600,12.6
800946000,13.5
801032400,15.7
801118800,13.6
801205200,14.7
801291600,15.8
801378000,15.2
801464400,16.9
801550800,14.6
801637200,16.7
801723600,15.0
801810000,17.9
801896400,19.9
801982800,21.0
802069200,20.1
802155600,17.4
802242000,16.1
802328400,17.6
802414800,19.3
802501200,22.6
802587600,14.5
802674000,15.2
802760400,17.2
802846800,20.2
802933200,17.8
803019600,16.9
803106000,18.7
803192400,18.1
803278800,18.8
803365200,21.3
803451600,24.2
803538000,27.1
803624400,23.3
803710800,20.3
803797200,21.1
803883600,23.3
803970000,24.4
804056400,25.6
804142800,24.7
804229200,22.8
804315600,21.8
804402000,24.1
804488400,25.7
804574800,23.5
804661200,20.4
804747600,18.1
804834000,21.7
804920400,24.7
805006800,25.3
805093200,23.6
805179600,20.6
805266000,18.0
805352400,18.7
805438800,20.4
805525200,21.2
805611600,24.2
805698000,28.5
805784400,26.3
805870800,21.4
805957200,17.8
806043600,21.1
806130000,21.0
806216400,20.6
806302800,21.8
806389200,22.7
806475600,21.8
806562000,21.1
806648400,23.3
806734800,24.6
806821200,23.6
806907600,23.3
806994000,25.8
807080400,23.0
807166800,23.1
807253200,24.8
807339600,19.0
807426000,20.7
807512400,23.0
807598800,21.3
807685200,18.4
807771600,20.5
807858000,20.8
807944400,21.7
808030800,22.7
808117200,23.7
808203600,24.5
808290000,19.3
808376400,21.1
808462800,25.6
808549200,25.4
808635600,24.2
808722000,23.8
808808400,21.0
808894800,22.8
808981200,25.1
809067600,19.5
809154000,17.5
809240400,17.9
809326800,14.7
809413200,15.9
809499600,19.8
809586000,17.9
809672400,20.6
809758800,17.2
809845200,17.6
809931600,19.9
810018000,15.4
810104400,15.9
810190800,18.7
810277200,19.7
810363600,15.4
810450000,17.2
810536400,10.0
810622800,12.7
810709200,11.6
810795600,11.3
810882000,16.3
810968400,20.6
811054800,17.4
811141200,11.5
811227600,12.6
811314000,15.9
811400400,10.7
811486800,10.7
811573200,12.9
811659600,14.4
811746000,16.1
811832400,10.2
811918800,8.0
812005200,10.9
812091600,13.6
812178000,12.9
812264400,10.1
812350800,9.5
812437200,13.7
812523600,14.6
812610000,16.2
812696400,13.0
812782800,11.0
812869200,12.5
812955600,10.8
813042000,13.4
813128400,13.8
813214800,11.8
813301200,11.4
813387600,13.5
813474000,16.9
813560400,17.8
813646800,16.2
813733200,12.6
813819600,7.3
813906000,5.6
813992400,10.8
814078800,8.9
814165200,12.4
814251600,17.3
814338000,9.7
814424400,11.6
814510800,12.1
814597200,10.4
814683600,9.1
814770000,10.2
814856400,13.1
814942800,7.3
815029200,1.3
815115600,1.4
815202000,2.6
815288400,6.3
815374800,8.5
815461200,2.1
815547600,1.1
815634000,4.7
815720400,4.2
815806800,2.9
815893200,-4.2
815979600,-3.7
816066000,9.4
816152400,3.7
816238800,-4.8
816325200,0.6
816411600,1.4
816498000,1.6
816584400,-2.2
816670800,-3.6
816757200,-1.5
816843600,-0.2
816930000,2.8
817016400,0.3
817102800,-2.2
817189200,-6.2
817275600,-8.1
817362000,-2.3
817448400,-5.5
817534800,-5.3
817621200,-10.9
817707600,-12.1
817794000,-2.1
817880400,-4.3
817966800,-10.4
818053200,-5.8
818139600,-9.6
818226000,-2.4
818312400,-6.8
818398800,-13.4
818485200,-12.7
818571600,-9.2
818658000,-13.3
818744400,-15.7
818830800,-15.8
818917200,-15.2
819003600,-7.7
819090000,-5.9
819176400,-4.9
819262800,-9.9
819349200,-15.3
819435600,-10.6
819522000,-10.4
819608400,-3.6
819694800,-2.5
819781200,-5.7
819867600,-5.6
819954000,-7.2
820040400,-7.7
820126800,-5.9
820213200,-8.4
820299600,-5.8
820386000,-2.9
820472400,-11.4
820558800,-18.2
820645200,-19.3
820731600,-21.3
820818000,-21.4
820904400,-22.5
820990800,-21.7
821077200,-20.1
821163600,-12.9
821250000,-11.8
821336400,-16.1
821422800,-12.8
821509200,-8.1
821595600,-7.6
821682000,-14.5
821768400,-16.7
821854800,-0.6
821941200,5.0
822027600,8.5
822114000,-8.1
822200400,-8.8
822286800,-4.3
822373200,0.6
822459600,1.6
822546000,-9.4
822632400,-9.7
822718800,-0.2
822805200,-6.8
822891600,-11.5
822978000,-4.6
823064400,-13.3
823150800,-18.1
823237200,-14.5
823323600,-18.1
823410000,-18.9
823496400,-15.6
823582800,-13.1
823669200,-8.4
823755600,-0.3
823842000,1.2
823928400,-5.0
824014800,-5.4
824101200,-13.8
824187600,-19.3
824274000,-14.6
824360400,-14.3
824446800,-11.9
824533200,-10.1
824619600,-12.5
824706000,-12.8
824792400,1.1
824878800,5.7
824965200,2.6
825051600,2.2
825138000,3.5
825224400,2.1
825310800,-1.3
825397200,-2.8
825483600,-0.9
825570000,-10.0
825656400,-6.8
825742800,-2.7
825829200,-2.6
825915600,-9.2
826002000,-6.8
826088400,-8.4
826174800,-11.6
826261200,-10.6
826347600,-11.8
826434000,-8.7
826520400,-3.7
826606800,-0.7
826693200,1.8
826779600,6.6
826866000,1.8
826952400,-3.3
827038800,-2.2
827125200,0.2
827211600,3.8
827298000,2.2
827384400,1.0
827470800,-0.3
827557200,-3.3
827643600,-2.3
827730000,5.7
827816400,3.7
827902800,-7.2
827989200,-5.8
828075600,0.7
828162000,0.3
828248400,1.3
828334800,4.1
828421200,1.8
828507600,-0.3
828594000,-1.3
828680400,1.3
828766800,1.0
828853200,4.4
828939600,2.3
829026000,1.7
829112400,1.6
829198800,5.9
829285200,7.4
829371600,2.5
829458000,2.4
829544400,3.7
829630800,6.1
829717200,3.1
829803600,4.6
829890000,11.0
829976400,9.5
830062800,13.2
830149200,10.8
830235600,10.3
830322000,4.9
830408400,5.3
830494800,11.1
830581200,5.6
830667600,4.4
830754000,7.9
830840400,9.6
830926800,10.2
831013200,9.2
831099600,11.1
831186000,11.9
831272400,9.9
831358800,8.9
831445200,10.8
831531600,13.8
831618000,15.1
831704400,12.9
831790800,9.4
831877200,4.4
831963600,6.5
832050000,8.7
832136400,12.4
832222800,13.8
832309200,13.6
832395600,17.6
832482000,18.7
832568400,21.2
832654800,20.1
832741200,17.3
832827600,15.5
832914000,12.1
833000400,10.1
833086800,11.8
833173200,13.6
833259600,15.9
833346000,8.8
833432400,10.3
833518800,15.2
833605200,18.1
833691600,19.0
833778000,20.4
833864400,18.0
833950800,17.5
834037200,16.9
834123600,16.5
834210000,14.7
834296400,17.5
834382800,20.8
834469200,22.4
834555600,21.6
834642000,20.7
834728400,20.6
834814800,19.8
834901200,17.8
834987600,20.6
835074000,20.9
835160400,21.7
835246800,19.6
835333200,21.9
835419600,16.3
835506000,17.5
835592400,16.3
835678800,17.4
835765200,15.5
835851600,16.1
835938000,16.9
836024400,18.2
836110800,19.4
836197200,22.7
836283600,22.8
836370000,21.3
836456400,17.9
836542800,19.4
836629200,20.8
836715600,17.9
836802000,21.1
836888400,20.9
